2、您双十一购物了吗？,3、双十一前您的预期花费？,4、双十一您的实际花费？,5、您购买物品的品类？,6、您为谁购物？,7、双十一您在哪购物？,8、您有没有为了折扣参与“盖楼”、“砍价”等转发活动？,9、双十一您有没有使用花呗、白条或信用卡支付？,10、您对双十一购物节的看法？,11、您的性别：,12、您的年龄：,13、您目前从事的职业：,14、您的个人月收入？,15、请选择省份城市与地区:
购物了,2000~5000元,10000元以上,家用电器┋美妆个护┋服饰鞋靴,自己┋父母,淘宝（天猫）┋京东┋商场,没有,没有,薅到爽到，支持！,女,31~35岁,教师,20000元以上,北京-北京市-朝阳区
购物了,2000~5000元,500元以下,图书文娱,自己,京东,没有,没有,其他〖多余〗,男,40岁以上,教师,20000元以上,北京-北京市-海淀区
购物了,500~2000元,500~2000元,手机数码┋服饰鞋靴┋家居百货,自己┋父母,淘宝（天猫）┋苏宁,没有,有,薅到爽到，支持！,男,18~25岁,全日制学生,3000元以下,江苏-南京市-浦口区
购物了,500~2000元,500~2000元,美妆个护┋食品生鲜,自己┋父母,淘宝（天猫）,没有,没有,薅到爽到，支持！,女,18~25岁,其他,3000元以下,北京-北京市-海淀区
购物了,500元以下,500元以下,服饰鞋靴,自己,淘宝（天猫）,没有,没有,静待霉霉，与我无瓜~,女,18~25岁,全日制学生,3000元以下,山东-济宁市-曲阜市
购物了,500元以下,500元以下,图书文娱,自己,京东,没有,有,静待霉霉，与我无瓜~,男,31~35岁,生产人员,10000~20000元,广东-东莞市
购物了,500元以下,500~2000元,手机数码┋服饰鞋靴┋食品生鲜,自己,淘宝（天猫）,没有,有,其他〖今年算是理性消费，个人很满意〗,女,18~25岁,全日制学生,3000元以下,北京-北京市-昌平区
没有,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),静待霉霉，与我无瓜~,女,18岁以下,全日制学生,3000元以下,北京-北京市-昌平区
购物了,500~2000元,2000~5000元,电脑办公┋其他〖医疗保健〗,自己┋父母┋其他亲朋好友,淘宝（天猫）┋拼多多,没有,有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,江苏-南京市-雨花台区
购物了,500~2000元,500~2000元,家居百货┋其他〖宝宝的尿不湿和睡袋 玩具〗,自己┋其他〖孩子〗,淘宝（天猫）,没有,有,其他〖趁着活动屯货〗,女,31~35岁,行政/后勤人员,3000~5000元,陕西-西安市-未央区
购物了,2000~5000元,2000~5000元,美妆个护┋服饰鞋靴,自己┋恋人或伴侣,淘宝（天猫）┋京东,有,有,薅到爽到，支持！,女,26~30岁,技术/研发人员,5000~10000元,广东-珠海市-香洲区
购物了,500~2000元,500~2000元,美妆个护┋服饰鞋靴,自己,淘宝（天猫）┋京东,没有,没有,静待霉霉，与我无瓜~,男,18~25岁,全日制学生,3000~5000元,北京-北京市-海淀区
购物了,500~2000元,500~2000元,美妆个护┋服饰鞋靴┋图书文娱,自己┋父母,淘宝（天猫）,有,有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,山东-烟台市-莱山区
购物了,500~2000元,500~2000元,手机数码,自己,京东,没有,没有,其他〖有要买的东西就参加，没有要买的就不参加〗,女,18~25岁,全日制学生,3000元以下,北京-北京市-昌平区
购物了,500~2000元,2000~5000元,家用电器┋服饰鞋靴┋图书文娱,自己┋父母,淘宝（天猫）,有,有,静待霉霉，与我无瓜~,男,18~25岁,其他,5000~10000元,山东-济南市-历下区
购物了,500~2000元,500~2000元,家用电器┋服饰鞋靴┋家居百货┋食品生鲜┋图书文娱,自己┋父母┋其他亲朋好友┋其他〖孩子〗,淘宝（天猫）┋京东,没有,有,其他〖正常促销，淡定就好〗,女,40岁以上,其他,10000~20000元,北京-北京市-海淀区
购物了,500元以下,500元以下,家居百货,自己┋恋人或伴侣,淘宝（天猫）,有,有,其他〖有需要就买点，不用刻意〗,女,26~30岁,教师,5000~10000元,福建-福州市-台江区
购物了,500~2000元,2000~5000元,服饰鞋靴┋食品生鲜┋其他〖孩子的玩具〗,自己┋其他〖孩子〗,淘宝（天猫）,没有,有,其他〖买了想买的东西，比平时便宜了一些〗,女,31~35岁,教师,10000~20000元,江西-南昌市-青山湖区
购物了,500~2000元,500~2000元,服饰鞋靴,自己┋其他亲朋好友,淘宝（天猫）,有,有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,北京-北京市-昌平区
没有,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),薅到爽到，支持！,男,18~25岁,全日制学生,3000元以下,北京-北京市-东城区
购物了,500~2000元,500~2000元,家用电器┋美妆个护┋服饰鞋靴┋家居百货,自己┋父母┋其他亲朋好友,淘宝（天猫）,有,没有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,天津-天津市-南开区
购物了,500元以下,500元以下,服饰鞋靴,自己,淘宝（天猫）,没有,有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,陕西-西安市-长安区
购物了,500元以下,500元以下,美妆个护┋家居百货,自己,淘宝（天猫）,没有,没有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,黑龙江-哈尔滨市-南岗区
购物了,500~2000元,2000~5000元,家用电器┋手机数码┋美妆个护┋服饰鞋靴┋家居百货,自己┋父母,淘宝（天猫）┋拼多多,有,有,薅到爽到，支持！,男,26~30岁,文职/办事人员,10000~20000元,广东-中山市
购物了,500元以下,500元以下,服饰鞋靴┋家居百货┋食品生鲜,自己┋恋人或伴侣,淘宝（天猫）,没有,没有,薅到爽到，支持！,男,18~25岁,全日制学生,3000元以下,湖南-长沙市-岳麓区
购物了,500元以下,500元以下,家居百货┋食品生鲜,自己┋父母,淘宝（天猫）┋京东┋其他〖微店〗,有,有,其他〖只买家里需要的日用品，虽然不便宜，但是红包抵扣多，〗,女,18~25岁,市场/公关人员,3000~5000元,天津-天津市-河北区
购物了,500~2000元,2000~5000元,美妆个护┋服饰鞋靴┋图书文娱,自己┋恋人或伴侣,淘宝（天猫）┋京东,没有,有,买了不必要的东西...,女,31~35岁,教师,5000~10000元,福建-福州市-闽侯县
购物了,500~2000元,2000~5000元,电脑办公┋美妆个护┋服饰鞋靴┋食品生鲜,父母┋其他〖家人（孩子）〗,淘宝（天猫）┋京东,没有,有,薅到爽到，支持！,女,40岁以上,市场/公关人员,20000元以上,北京-北京市-海淀区
购物了,500~2000元,500元以下,家用电器┋服饰鞋靴,其他〖孩子〗,淘宝（天猫）,没有,有,静待霉霉，与我无瓜~,男,31~35岁,技术/研发人员,5000~10000元,广东-深圳市-南山区
购物了,5000~10000元,10000元以上,手机数码┋美妆个护┋图书文娱,自己┋父母┋恋人或伴侣,淘宝（天猫）┋京东,没有,没有,薅到爽到，支持！,男,18~25岁,全日制学生,3000~5000元,山东-青岛市-黄岛区
购物了,500~2000元,5000~10000元,手机数码┋美妆个护┋服饰鞋靴,自己┋父母,淘宝（天猫）┋京东┋拼多多,没有,有,薅到爽到，支持！,女,31~35岁,教师,10000~20000元,北京-北京市-西城区
购物了,2000~5000元,2000~5000元,家用电器┋手机数码┋美妆个护┋家居百货,自己┋父母┋其他亲朋好友,淘宝（天猫）,没有,有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,上海-上海市-闵行区
购物了,500~2000元,500~2000元,服饰鞋靴┋家居百货┋图书文娱,自己┋父母┋恋人或伴侣,淘宝（天猫）┋京东,没有,没有,薅到爽到，支持！,女,40岁以上,技术/研发人员,10000~20000元,北京-北京市-西城区
购物了,500元以下,500元以下,手机数码┋电脑办公,自己┋恋人或伴侣,淘宝（天猫）,有,有,薅到爽到，支持！,男,18~25岁,全日制学生,3000元以下,北京-北京市-海淀区
购物了,500~2000元,500~2000元,美妆个护┋服饰鞋靴┋图书文娱,自己┋父母,淘宝（天猫）,没有,有,买了不必要的东西...,女,18~25岁,全日制学生,3000元以下,天津-天津市-河西区
购物了,2000~5000元,5000~10000元,家用电器┋服饰鞋靴┋家居百货,自己┋父母┋其他〖子女〗,淘宝（天猫）┋京东┋拼多多,有,有,薅到爽到，支持！,女,36~40岁,人力资源,20000元以上,上海-上海市-浦东新区
购物了,500~2000元,500~2000元,美妆个护┋服饰鞋靴┋食品生鲜,自己,淘宝（天猫）┋商场,有,有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,上海-上海市-普陀区
购物了,500~2000元,500~2000元,服饰鞋靴┋家居百货,自己,淘宝（天猫）,没有,没有,买了不必要的东西...,女,18~25岁,全日制学生,3000元以下,北京-北京市-海淀区
购物了,2000~5000元,5000~10000元,服饰鞋靴┋家居百货,自己┋父母┋恋人或伴侣,淘宝（天猫）┋京东,有,有,其他〖还是比往常更便宜点，但也没有特别爽到〗,女,26~30岁,文职/办事人员,5000~10000元,北京-北京市-丰台区
购物了,500元以下,2000~5000元,手机数码┋电脑办公,自己,淘宝（天猫）┋京东,没有,有,薅到爽到，支持！,男,18~25岁,全日制学生,3000元以下,云南-昆明市-五华区
购物了,500~2000元,500~2000元,服饰鞋靴┋家居百货,自己,淘宝（天猫）,没有,有,买了不必要的东西...,男,18~25岁,全日制学生,3000元以下,北京-北京市-海淀区
购物了,2000~5000元,5000~10000元,手机数码┋美妆个护┋服饰鞋靴,自己,淘宝（天猫）,没有,有,薅到爽到，支持！,女,18~25岁,全日制学生,3000~5000元,北京-北京市-海淀区
没有,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),静待霉霉，与我无瓜~,男,18~25岁,全日制学生,3000元以下,北京-北京市-海淀区
购物了,500~2000元,500~2000元,家用电器┋服饰鞋靴,自己┋恋人或伴侣,淘宝（天猫）,有,没有,其他〖活动力度在某些商品体现不明显，套路太多〗,女,18~25岁,全日制学生,3000元以下,重庆-重庆市-永川区
购物了,500元以下,500元以下,美妆个护┋家居百货,自己,京东,没有,有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,吉林-长春市-南关区
购物了,500元以下,500元以下,家居百货,自己┋恋人或伴侣,淘宝（天猫）┋拼多多,有,有,其他〖还行，吸引力越来越小〗,女,18~25岁,全日制学生,3000元以下,广东-佛山市-禅城区
购物了,500元以下,500~2000元,服饰鞋靴┋家居百货,自己┋恋人或伴侣,淘宝（天猫）,没有,有,薅到爽到，支持！,男,18~25岁,全日制学生,3000元以下,北京-北京市-海淀区
购物了,2000~5000元,2000~5000元,美妆个护┋服饰鞋靴┋家居百货┋食品生鲜┋图书文娱,自己┋恋人或伴侣,淘宝（天猫）,没有,有,静待霉霉，与我无瓜~,女,26~30岁,其他,10000~20000元,上海-上海市-浦东新区
购物了,500~2000元,500~2000元,美妆个护┋服饰鞋靴┋图书文娱,自己┋恋人或伴侣,淘宝（天猫）┋京东,没有,没有,薅到爽到，支持！,女,18~25岁,全日制学生,5000~10000元,北京-北京市-昌平区
购物了,500~2000元,500元以下,美妆个护┋服饰鞋靴,自己,淘宝（天猫）┋其他〖唯品会〗,没有,有,其他〖买需要的〗,女,26~30岁,行政/后勤人员,3000~5000元,安徽-合肥市-包河区
购物了,500~2000元,500~2000元,手机数码┋美妆个护,自己,淘宝（天猫）┋京东,没有,有,静待霉霉，与我无瓜~,女,18~25岁,全日制学生,3000元以下,北京-北京市-通州区
购物了,500~2000元,2000~5000元,美妆个护┋服饰鞋靴,自己,淘宝（天猫）,有,有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,上海-上海市-杨浦区
购物了,500元以下,500~2000元,手机数码┋美妆个护┋服饰鞋靴┋家居百货┋食品生鲜,自己┋父母,淘宝（天猫）,有,有,买了不必要的东西...,女,18~25岁,全日制学生,3000元以下,上海-上海市-浦东新区
购物了,500~2000元,2000~5000元,美妆个护┋服饰鞋靴┋家居百货,自己┋父母┋其他亲朋好友,淘宝（天猫）┋京东┋其他〖毒〗,有,有,买了不必要的东西...,女,18~25岁,全日制学生,3000元以下,北京-北京市-昌平区
购物了,500元以下,500元以下,图书文娱,自己,其他〖樊登读书〗,没有,没有,薅到爽到，支持！,女,40岁以上,其他,20000元以上,河南-郑州市-管城回族区
购物了,500元以下,500元以下,美妆个护┋家居百货┋图书文娱,自己┋恋人或伴侣,淘宝（天猫）,有,没有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,陕西-安康市-汉滨区
没有,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),静待霉霉，与我无瓜~,男,36~40岁,教师,5000~10000元,陕西-西安市-雁塔区
购物了,500~2000元,5000~10000元,美妆个护┋家居百货┋图书文娱,自己,淘宝（天猫）,有,有,买了不必要的东西...,女,26~30岁,其他,5000~10000元,上海-上海市-浦东新区
购物了,2000~5000元,5000~10000元,手机数码┋电脑办公┋美妆个护┋服饰鞋靴┋图书文娱,自己┋父母┋恋人或伴侣,淘宝（天猫）┋京东,有,没有,买了不必要的东西...,女,26~30岁,教师,5000~10000元,江苏-南京市-溧水区
购物了,2000~5000元,2000~5000元,美妆个护┋服饰鞋靴┋食品生鲜,自己┋父母┋其他〖孩子！怎么能漏了这个选项〗,淘宝（天猫）┋京东,没有,有,薅到爽到，支持！,女,31~35岁,行政/后勤人员,10000~20000元,北京-北京市-朝阳区
没有,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),静待霉霉，与我无瓜~,男,18~25岁,全日制学生,3000元以下,黑龙江-哈尔滨市-南岗区
没有,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),静待霉霉，与我无瓜~,女,18~25岁,全日制学生,3000元以下,甘肃-兰州市-榆中县
购物了,500~2000元,500~2000元,美妆个护┋服饰鞋靴┋图书文娱,自己,淘宝（天猫）,没有,有,其他〖便宜了就可以〗,女,18~25岁,全日制学生,3000元以下,北京-北京市-东城区
购物了,500~2000元,500~2000元,服饰鞋靴┋家居百货┋食品生鲜┋图书文娱,自己┋父母┋恋人或伴侣,淘宝（天猫）┋拼多多,没有,有,买了不必要的东西...,男,18~25岁,全日制学生,3000~5000元,北京-北京市-海淀区
购物了,500~2000元,500~2000元,家用电器┋美妆个护┋家居百货┋图书文娱,自己,淘宝（天猫）,有,没有,薅到爽到，支持！,女,18~25岁,全日制学生,3000~5000元,北京-北京市-海淀区
购物了,500元以下,500~2000元,美妆个护┋家居百货,自己,淘宝（天猫）,没有,没有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,广东-广州市-天河区
没有,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),买了不必要的东西...,女,18~25岁,全日制学生,3000元以下,北京-北京市-海淀区
购物了,500元以下,500元以下,食品生鲜┋图书文娱,自己┋恋人或伴侣,淘宝（天猫）,没有,有,静待霉霉，与我无瓜~,男,18~25岁,专业人士(如会计师、律师、建筑师、医护人员、记者等),5000~10000元,北京-北京市-海淀区
购物了,500~2000元,2000~5000元,美妆个护┋服饰鞋靴┋家居百货,自己┋父母,淘宝（天猫）,有,有,薅到爽到，支持！,女,18~25岁,财务/审计人员,5000~10000元,陕西-西安市-雁塔区
购物了,500~2000元,2000~5000元,美妆个护┋服饰鞋靴┋家居百货┋食品生鲜,自己┋父母,淘宝（天猫）,有,有,其他〖虽然还是便宜了，但好像越来越没意思了。。。〗,女,18~25岁,全日制学生,3000元以下,北京-北京市-海淀区
购物了,2000~5000元,2000~5000元,手机数码┋美妆个护┋服饰鞋靴,自己┋父母┋恋人或伴侣,淘宝（天猫）┋京东,没有,有,薅到爽到，支持！,女,18~25岁,全日制学生,3000~5000元,北京-北京市-朝阳区
购物了,500元以下,500元以下,手机数码┋服饰鞋靴┋食品生鲜,自己,淘宝（天猫）,有,没有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,北京-北京市-昌平区
购物了,500~2000元,2000~5000元,美妆个护┋服饰鞋靴┋家居百货,自己┋父母,淘宝（天猫）,没有,没有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,北京-北京市-昌平区
购物了,500~2000元,5000~10000元,美妆个护┋食品生鲜┋图书文娱,自己┋宠物,淘宝（天猫）,没有,没有,薅到爽到，支持！,女,18~25岁,其他,20000元以上,北京-北京市-顺义区
购物了,5000~10000元,10000元以上,手机数码┋美妆个护┋服饰鞋靴┋家居百货┋食品生鲜,自己┋恋人或伴侣┋宠物,淘宝（天猫）┋拼多多,有,没有,薅到爽到，支持！,女,26~30岁,行政/后勤人员,5000~10000元,北京-北京市-昌平区
购物了,500元以下,2000~5000元,手机数码┋服饰鞋靴,自己,淘宝（天猫）,没有,没有,静待霉霉，与我无瓜~,女,18~25岁,全日制学生,3000元以下,北京-北京市-海淀区
购物了,500~2000元,500~2000元,美妆个护┋服饰鞋靴┋家居百货,自己┋父母,淘宝（天猫）,有,有,静待霉霉，与我无瓜~,女,18~25岁,全日制学生,3000元以下,天津-天津市-津南区
购物了,500元以下,500元以下,其他〖线上课程〗,自己,其他〖线上课程网站〗,没有,没有,静待霉霉，与我无瓜~,男,18~25岁,全日制学生,3000元以下,北京-北京市-海淀区
购物了,500~2000元,500元以下,其他〖行李箱〗,自己,淘宝（天猫）,有,没有,静待霉霉，与我无瓜~,女,18~25岁,全日制学生,3000元以下,北京-北京市-昌平区
购物了,500~2000元,500~2000元,手机数码┋食品生鲜,自己┋父母┋恋人或伴侣,淘宝（天猫）┋京东┋拼多多,有,有,薅到爽到，支持！,男,18~25岁,全日制学生,3000元以下,广东-广州市-海珠区
购物了,500~2000元,500~2000元,美妆个护┋家居百货,自己┋父母,淘宝（天猫）,没有,没有,静待霉霉，与我无瓜~,女,18~25岁,全日制学生,3000元以下,黑龙江-哈尔滨市-香坊区
购物了,500元以下,500~2000元,美妆个护┋服饰鞋靴,自己,淘宝（天猫）,没有,没有,其他〖耗时〗,女,18~25岁,全日制学生,3000元以下,北京-北京市-昌平区
购物了,500~2000元,500~2000元,美妆个护┋服饰鞋靴,自己┋恋人或伴侣,淘宝（天猫）,没有,没有,薅到爽到，支持！,男,18~25岁,全日制学生,3000元以下,北京-北京市-海淀区
购物了,500元以下,500~2000元,服饰鞋靴,自己┋恋人或伴侣,淘宝（天猫）┋京东,没有,有,静待霉霉，与我无瓜~,女,26~30岁,文职/办事人员,10000~20000元,北京-北京市-东城区
购物了,500元以下,500~2000元,其他〖模型〗,自己,淘宝（天猫）┋京东,有,有,其他〖待时而动〗,男,18~25岁,全日制学生,3000元以下,北京-北京市-昌平区
购物了,500~2000元,500~2000元,美妆个护┋服饰鞋靴┋家居百货┋食品生鲜┋图书文娱,自己┋父母,淘宝（天猫）,有,没有,薅到爽到，支持！,女,18~25岁,全日制学生,3000~5000元,广东-广州市-天河区
购物了,500~2000元,500~2000元,美妆个护┋服饰鞋靴┋食品生鲜,自己,淘宝（天猫）┋京东,有,有,其他〖可能比平时便宜一丢丢，但不想花太多精力〗,女,26~30岁,全日制学生,3000元以下,上海-上海市-长宁区
购物了,500元以下,500元以下,手机数码,自己,淘宝（天猫）,没有,有,其他〖还好，如果有需要的会去买，没有需要不太会参与，因为大多数其实没有很大的折扣感觉〗,男,18~25岁,全日制学生,3000元以下,北京-北京市-昌平区
购物了,500~2000元,500元以下,美妆个护┋服饰鞋靴┋家居百货,自己┋父母┋恋人或伴侣,淘宝（天猫）,没有,没有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,江苏-南京市-栖霞区
购物了,500~2000元,2000~5000元,美妆个护┋服饰鞋靴┋家居百货,自己┋父母┋恋人或伴侣,淘宝（天猫）┋拼多多,有,有,薅到爽到，支持！,男,18~25岁,全日制学生,5000~10000元,北京-北京市-海淀区
购物了,500~2000元,2000~5000元,美妆个护┋服饰鞋靴┋图书文娱,自己┋恋人或伴侣,淘宝（天猫）,有,没有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,北京-北京市-昌平区
购物了,500元以下,500~2000元,手机数码┋电脑办公,自己,京东,没有,有,其他〖淘宝的活动令人恶心，选京东了〗,男,26~30岁,全日制学生,3000~5000元,北京-北京市-海淀区
购物了,500~2000元,500~2000元,美妆个护┋服饰鞋靴┋家居百货┋食品生鲜┋图书文娱,自己,淘宝（天猫）,没有,有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,北京-北京市-昌平区
购物了,500元以下,500元以下,手机数码┋图书文娱,自己,淘宝（天猫）,没有,没有,其他〖无所谓〗,男,18~25岁,其他,3000元以下,吉林-长春市-农安县
没有,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),买了不必要的东西...,男,18~25岁,全日制学生,3000元以下,北京-北京市-大兴区
购物了,500元以下,500元以下,美妆个护┋服饰鞋靴,自己,淘宝（天猫）,没有,没有,其他〖有需要〗,男,18~25岁,其他,3000元以下,安徽-滁州市-明光市
购物了,500~2000元,500~2000元,美妆个护┋家居百货┋图书文娱,自己┋父母┋恋人或伴侣,淘宝（天猫）,有,没有,薅到爽到，支持！,女,18~25岁,管理人员,3000~5000元,山东-滨州市-博兴县
购物了,500元以下,500~2000元,手机数码┋美妆个护┋家居百货┋其他〖猫粮猫砂猫玩具〗,自己┋恋人或伴侣┋宠物,淘宝（天猫）┋京东,有,没有,薅到爽到，支持！,女,18~25岁,技术/研发人员,5000~10000元,上海-上海市-宝山区
购物了,500~2000元,500~2000元,手机数码┋电脑办公┋家居百货,自己┋父母┋恋人或伴侣┋宠物,淘宝（天猫）┋京东┋拼多多,没有,有,静待霉霉，与我无瓜~,男,31~35岁,技术/研发人员,20000元以上,北京-北京市-海淀区
购物了,500~2000元,500~2000元,家居百货┋图书文娱,自己┋父母┋恋人或伴侣,京东┋苏宁,没有,没有,薅到爽到，支持！,男,40岁以上,人力资源,3000~5000元,安徽-安庆市-潜山市
没有,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),其他〖一年不如一年，尤其今年抬价再打折，有几个电器比我3年前买的还贵，没意思〗,女,31~35岁,全日制学生,10000~20000元,北京-北京市-大兴区
购物了,500~2000元,500~2000元,手机数码┋服饰鞋靴,自己,淘宝（天猫）,有,有,薅到爽到，支持！,男,18~25岁,技术/研发人员,3000~5000元,安徽-合肥市-包河区
购物了,500~2000元,2000~5000元,美妆个护┋服饰鞋靴,自己,淘宝（天猫）,有,没有,买了不必要的东西...,女,18~25岁,全日制学生,3000~5000元,上海-上海市-杨浦区
购物了,2000~5000元,2000~5000元,家用电器┋美妆个护┋服饰鞋靴┋家居百货┋图书文娱,自己┋父母┋宠物,淘宝（天猫）┋商场,没有,没有,薅到爽到，支持！,女,18~25岁,全日制学生,3000~5000元,青海-西宁市-城西区
购物了,500元以下,500元以下,美妆个护┋图书文娱,自己,淘宝（天猫）,有,有,买了不必要的东西...,女,18~25岁,全日制学生,3000元以下,广东-广州市-海珠区
购物了,500~2000元,500~2000元,美妆个护┋服饰鞋靴┋食品生鲜┋图书文娱,自己┋父母,淘宝（天猫）┋商场,有,没有,薅到爽到，支持！,女,18~25岁,全日制学生,3000~5000元,北京-北京市-海淀区
购物了,500~2000元,500~2000元,美妆个护┋服饰鞋靴┋食品生鲜,自己┋父母┋其他亲朋好友,淘宝（天猫）┋京东,有,有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,北京-北京市-房山区
