2、您双十一购物了吗？,3、双十一前您的预期花费？,4、双十一您的实际花费？,5、您购买物品的品类？,6、您为谁购物？,7、双十一您在哪购物？,8、您有没有为了折扣参与“盖楼”、“砍价”等转发活动？,9、双十一您有没有使用花呗、白条或信用卡支付？,10、您对双十一购物节的看法？,11、您的性别：,12、您的年龄：,13、您目前从事的职业：,14、您的个人月收入？,15、请选择省份城市与地区:
购物了,500元以下,500~2000元,服饰鞋靴┋家居百货,自己,淘宝（天猫）,有,有,其他〖囤下日用品，刚需。还挺好〗,女,18~25岁,全日制学生,3000元以下,黑龙江-哈尔滨市-松北区
购物了,500元以下,500元以下,美妆个护┋服饰鞋靴,自己,淘宝（天猫）,没有,有,静待霉霉，与我无瓜~,女,18~25岁,全日制学生,3000元以下,北京-北京市-海淀区
购物了,2000~5000元,2000~5000元,美妆个护┋服饰鞋靴,自己,淘宝（天猫）,有,有,薅到爽到，支持！,女,26~30岁,技术/研发人员,10000~20000元,广东-深圳市-福田区
没有,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),其他〖促进消费，值得肯定〗,男,18~25岁,全日制学生,3000元以下,天津-天津市-河北区
购物了,10000元以上,500元以下,美妆个护,恋人或伴侣,淘宝（天猫）┋京东,没有,没有,其他〖规则太繁杂琐碎，兴致全无〗,男,40岁以上,管理人员,20000元以上,北京-北京市-西城区
购物了,500元以下,500元以下,美妆个护┋家居百货,自己,淘宝（天猫）,没有,有,薅到爽到，支持！,女,18~25岁,市场/公关人员,3000~5000元,广东-广州市-越秀区
购物了,500元以下,500~2000元,美妆个护┋服饰鞋靴,自己┋父母┋恋人或伴侣,淘宝（天猫）,没有,没有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,广东-广州市-天河区
购物了,500元以下,500元以下,美妆个护┋图书文娱,自己┋父母,淘宝（天猫）,没有,没有,静待霉霉，与我无瓜~,男,18~25岁,全日制学生,3000元以下,山西-太原市-小店区
购物了,2000~5000元,500~2000元,家居百货┋食品生鲜,自己,淘宝（天猫）,有,有,薅到爽到，支持！,女,18~25岁,全日制学生,3000~5000元,北京-北京市-昌平区
购物了,500~2000元,500~2000元,服饰鞋靴┋食品生鲜,自己,淘宝（天猫）,没有,没有,薅到爽到，支持！,男,18~25岁,全日制学生,3000元以下,北京-北京市-海淀区
购物了,500元以下,500~2000元,美妆个护┋服饰鞋靴,自己┋其他亲朋好友,淘宝（天猫）,有,没有,静待霉霉，与我无瓜~,女,18~25岁,全日制学生,3000元以下,陕西-安康市-汉滨区
购物了,500~2000元,500~2000元,美妆个护┋服饰鞋靴┋家居百货,自己┋父母,淘宝（天猫）,有,有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,北京-北京市-海淀区
购物了,500~2000元,2000~5000元,美妆个护┋服饰鞋靴┋家居百货┋食品生鲜┋图书文娱,自己┋父母,淘宝（天猫）,有,有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,陕西-西安市-长安区
购物了,500~2000元,500~2000元,服饰鞋靴┋食品生鲜,自己,淘宝（天猫）┋其他〖毒〗,没有,没有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,上海-上海市-杨浦区
购物了,2000~5000元,5000~10000元,家用电器┋美妆个护┋服饰鞋靴,自己┋父母,淘宝（天猫）┋商场,有,有,薅到爽到，支持！,女,31~35岁,教师,10000~20000元,北京-北京市-海淀区
购物了,500~2000元,500~2000元,美妆个护┋服饰鞋靴┋食品生鲜,自己,淘宝（天猫）,没有,有,买了不必要的东西...,女,18~25岁,全日制学生,3000元以下,江苏-南京市-栖霞区
购物了,500~2000元,500~2000元,美妆个护┋服饰鞋靴┋家居百货┋食品生鲜,自己,淘宝（天猫）,有,有,薅到爽到，支持！,女,18~25岁,顾问/咨询,10000~20000元,北京-北京市-海淀区
购物了,2000~5000元,5000~10000元,家用电器┋美妆个护┋服饰鞋靴┋家居百货,自己┋父母,淘宝（天猫）,有,有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,四川-成都市-武侯区
没有,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),买了不必要的东西...,男,18~25岁,全日制学生,3000元以下,广东-深圳市-南山区
购物了,10000元以上,10000元以上,家用电器┋电脑办公┋家居百货,自己┋父母,京东┋商场,没有,没有,薅到爽到，支持！,男,31~35岁,管理人员,10000~20000元,上海-上海市-浦东新区
没有,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),买了不必要的东西...,女,18~25岁,全日制学生,3000元以下,广东-东莞市
购物了,500~2000元,500~2000元,美妆个护┋服饰鞋靴┋家居百货,自己,淘宝（天猫）,没有,没有,其他〖鞋的质量有问题〗,女,18~25岁,全日制学生,3000元以下,湖北-武汉市-洪山区
购物了,500~2000元,2000~5000元,美妆个护┋服饰鞋靴┋图书文娱,自己┋其他亲朋好友,淘宝（天猫）┋京东,没有,有,买了不必要的东西...,女,18~25岁,全日制学生,3000元以下,上海-上海市-杨浦区
购物了,2000~5000元,5000~10000元,美妆个护┋服饰鞋靴┋家居百货┋图书文娱,自己┋父母,淘宝（天猫）,有,有,薅到爽到，支持！,女,18~25岁,文职/办事人员,5000~10000元,北京-北京市-朝阳区
购物了,500~2000元,500~2000元,家用电器┋美妆个护┋服饰鞋靴┋家居百货,自己,淘宝（天猫）,没有,有,静待霉霉，与我无瓜~,女,26~30岁,全日制学生,3000元以下,河北-唐山市-路北区
购物了,10000元以上,10000元以上,美妆个护┋服饰鞋靴┋家居百货┋食品生鲜┋图书文娱,自己┋父母┋其他〖子女〗,淘宝（天猫）┋京东,有,有,薅到爽到，支持！,女,31~35岁,专业人士(如会计师、律师、建筑师、医护人员、记者等),10000~20000元,北京-北京市-海淀区
购物了,500~2000元,500~2000元,电脑办公┋美妆个护┋服饰鞋靴,自己,淘宝（天猫）┋京东,有,有,其他〖确实有一些优惠，不过也是找一个让自己心安理得买买买的机会〗,女,18~25岁,全日制学生,3000元以下,广东-珠海市-香洲区
购物了,500~2000元,500元以下,美妆个护┋服饰鞋靴┋食品生鲜,自己┋父母,淘宝（天猫）┋其他〖网易考拉〗,有,有,其他〖越来越假〗,女,18~25岁,全日制学生,3000元以下,吉林-长春市-南关区
购物了,2000~5000元,10000元以上,家用电器┋服饰鞋靴┋家居百货┋食品生鲜┋图书文娱,自己┋父母,淘宝（天猫）┋京东,没有,有,薅到爽到，支持！,女,31~35岁,教师,20000元以上,北京-北京市-海淀区
购物了,500~2000元,2000~5000元,美妆个护┋服饰鞋靴┋家居百货,自己┋父母┋恋人或伴侣,淘宝（天猫）,有,没有,薅到爽到，支持！,女,18~25岁,全日制学生,3000~5000元,北京-北京市-丰台区
购物了,500~2000元,2000~5000元,美妆个护┋服饰鞋靴┋家居百货,自己┋父母┋恋人或伴侣┋其他亲朋好友,淘宝（天猫）,没有,有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,江西-抚州市-黎川县
购物了,500~2000元,500~2000元,美妆个护┋服饰鞋靴┋图书文娱,自己,淘宝（天猫）┋京东,没有,有,静待霉霉，与我无瓜~,男,18~25岁,全日制学生,3000元以下,安徽-蚌埠市-龙子湖区
没有,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,四川-成都市-金牛区
购物了,500元以下,500元以下,服饰鞋靴┋食品生鲜┋图书文娱,自己,淘宝（天猫）,没有,没有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,湖北-武汉市-蔡甸区
购物了,500元以下,500元以下,美妆个护┋服饰鞋靴┋家居百货,自己,淘宝（天猫）,有,有,静待霉霉，与我无瓜~,女,18~25岁,全日制学生,3000元以下,河南-郑州市-中原区
购物了,500元以下,500元以下,服饰鞋靴,自己┋其他亲朋好友,淘宝（天猫）,没有,没有,其他〖小小参与一下〗,女,36~40岁,其他,3000~5000元,广东-惠州市-惠城区
没有,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),静待霉霉，与我无瓜~,女,18~25岁,全日制学生,3000元以下,北京-北京市-昌平区
购物了,500~2000元,500~2000元,美妆个护┋服饰鞋靴┋食品生鲜,自己┋宠物,淘宝（天猫）,没有,有,薅到爽到，支持！,女,18~25岁,全日制学生,3000~5000元,北京-北京市-昌平区
购物了,500元以下,500元以下,美妆个护┋服饰鞋靴,自己,淘宝（天猫）,没有,没有,薅到爽到，支持！,女,18~25岁,文职/办事人员,3000~5000元,浙江-杭州市-西湖区
购物了,500元以下,500元以下,家居百货┋食品生鲜┋图书文娱,自己,淘宝（天猫）,有,没有,薅到爽到，支持！,女,18岁以下,全日制学生,3000元以下,江苏-苏州市-虎丘区
购物了,10000元以上,10000元以上,家用电器┋美妆个护┋家居百货┋食品生鲜┋图书文娱,自己┋父母┋宠物,淘宝（天猫）┋京东,没有,有,薅到爽到，支持！,女,26~30岁,行政/后勤人员,10000~20000元,上海-上海市-杨浦区
购物了,500元以下,500元以下,美妆个护,自己,淘宝（天猫）,没有,没有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,北京-北京市-昌平区
购物了,2000~5000元,2000~5000元,手机数码┋美妆个护┋服饰鞋靴┋食品生鲜┋图书文娱,自己,淘宝（天猫）,没有,没有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,吉林-长春市-朝阳区
购物了,500~2000元,500~2000元,美妆个护┋服饰鞋靴┋家居百货,自己┋恋人或伴侣,淘宝（天猫）,没有,有,买了不必要的东西...,女,18~25岁,其他,3000~5000元,广西-南宁市-江南区
购物了,500~2000元,500~2000元,手机数码┋电脑办公┋服饰鞋靴,自己┋父母,淘宝（天猫）┋京东,没有,有,薅到爽到，支持！,男,26~30岁,技术/研发人员,5000~10000元,北京-北京市-海淀区
购物了,500元以下,500元以下,服饰鞋靴┋家居百货,自己,淘宝（天猫）,有,有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,广西-桂林市-雁山区
没有,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),买了不必要的东西...,男,18~25岁,技术/研发人员,3000~5000元,北京-北京市-朝阳区
购物了,500元以下,500~2000元,美妆个护┋服饰鞋靴┋家居百货┋其他〖无〗,自己,淘宝（天猫）,没有,有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,北京-北京市-朝阳区
购物了,500元以下,500元以下,美妆个护┋服饰鞋靴,自己,淘宝（天猫）,有,没有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,广西-玉林市-玉州区
购物了,500元以下,500元以下,美妆个护┋服饰鞋靴┋家居百货┋食品生鲜,自己,淘宝（天猫）,没有,没有,静待霉霉，与我无瓜~,女,18~25岁,全日制学生,3000元以下,北京-北京市-海淀区
购物了,2000~5000元,2000~5000元,家用电器┋美妆个护┋服饰鞋靴┋家居百货,自己┋其他亲朋好友,淘宝（天猫）┋苏宁,没有,有,薅到爽到，支持！,女,36~40岁,教师,10000~20000元,广东-广州市-花都区
购物了,500~2000元,500~2000元,美妆个护┋服饰鞋靴┋家居百货┋图书文娱,自己┋父母,淘宝（天猫）┋京东,有,有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,北京-北京市-海淀区
购物了,500元以下,500~2000元,家用电器┋美妆个护┋服饰鞋靴,自己┋父母,淘宝（天猫）,没有,有,买了不必要的东西...,女,18~25岁,全日制学生,3000元以下,广西-桂林市-雁山区
购物了,500~2000元,500~2000元,美妆个护,自己,淘宝（天猫）,有,有,买了不必要的东西...,女,18~25岁,全日制学生,3000元以下,四川-成都市-温江区
购物了,500~2000元,2000~5000元,家用电器┋美妆个护┋服饰鞋靴┋食品生鲜┋图书文娱,自己┋恋人或伴侣┋其他亲朋好友,淘宝（天猫）,有,有,薅到爽到，支持！,女,36~40岁,管理人员,5000~10000元,陕西-西安市-碑林区
购物了,5000~10000元,2000~5000元,手机数码┋服饰鞋靴,自己,淘宝（天猫）┋其他〖Apple 官网〗,没有,有,静待霉霉，与我无瓜~,男,18~25岁,全日制学生,3000元以下,北京-北京市-昌平区
购物了,500~2000元,2000~5000元,美妆个护┋服饰鞋靴┋图书文娱,自己┋其他〖为爱豆打榜〗,淘宝（天猫）┋京东,没有,有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,北京-北京市-昌平区
购物了,500~2000元,2000~5000元,电脑办公┋美妆个护┋家居百货┋食品生鲜,自己┋父母,淘宝（天猫）,没有,没有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,北京-北京市-昌平区
购物了,500~2000元,500~2000元,美妆个护┋服饰鞋靴,自己┋恋人或伴侣,淘宝（天猫）,没有,没有,静待霉霉，与我无瓜~,女,18岁以下,全日制学生,3000元以下,北京-北京市-昌平区
购物了,500元以下,500元以下,美妆个护┋服饰鞋靴,自己,淘宝（天猫）,没有,没有,静待霉霉，与我无瓜~,女,18~25岁,全日制学生,3000元以下,北京-北京市-昌平区
购物了,500~2000元,500~2000元,美妆个护┋家居百货┋图书文娱,自己┋其他亲朋好友,淘宝（天猫）,没有,没有,静待霉霉，与我无瓜~,女,18~25岁,全日制学生,3000元以下,北京-北京市-昌平区
购物了,500元以下,500元以下,图书文娱,自己,淘宝（天猫）,没有,没有,静待霉霉，与我无瓜~,男,18~25岁,全日制学生,3000元以下,北京-北京市-昌平区
购物了,500~2000元,500~2000元,美妆个护┋服饰鞋靴,自己,淘宝（天猫）,没有,没有,静待霉霉，与我无瓜~,女,18~25岁,全日制学生,3000元以下,北京-北京市-昌平区
购物了,500元以下,500~2000元,服饰鞋靴,自己,淘宝（天猫）,没有,没有,其他〖趁着低价买自己需要的衣服〗,女,18~25岁,全日制学生,3000元以下,北京-北京市-昌平区
购物了,500元以下,500元以下,服饰鞋靴,自己,淘宝（天猫）,没有,没有,静待霉霉，与我无瓜~,女,18~25岁,全日制学生,3000元以下,北京-北京市-昌平区
购物了,500元以下,500元以下,美妆个护┋服饰鞋靴┋家居百货┋食品生鲜┋图书文娱,自己┋父母┋其他亲朋好友,淘宝（天猫）,没有,没有,薅到爽到，支持！,女,18岁以下,全日制学生,3000元以下,北京-北京市-昌平区
购物了,500~2000元,500~2000元,美妆个护┋服饰鞋靴┋家居百货┋食品生鲜┋图书文娱,自己┋其他亲朋好友,淘宝（天猫）,有,有,买了不必要的东西...,女,18~25岁,全日制学生,3000元以下,北京-北京市-昌平区
购物了,500~2000元,500~2000元,美妆个护┋服饰鞋靴,自己┋恋人或伴侣,淘宝（天猫）┋京东,没有,有,买了不必要的东西...,女,18~25岁,全日制学生,3000~5000元,北京-北京市-昌平区
购物了,500~2000元,500~2000元,美妆个护┋服饰鞋靴┋家居百货,自己┋其他亲朋好友,淘宝（天猫）,没有,没有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,北京-北京市-石景山区
购物了,500~2000元,500~2000元,服饰鞋靴┋食品生鲜,自己┋恋人或伴侣,淘宝（天猫）┋京东,有,有,薅到爽到，支持！,男,18~25岁,全日制学生,3000元以下,海南-海口市-美兰区
购物了,500元以下,500~2000元,手机数码┋服饰鞋靴┋家居百货,自己,淘宝（天猫）,没有,没有,买了不必要的东西...,女,18~25岁,全日制学生,3000元以下,北京-北京市-昌平区
购物了,500元以下,500元以下,服饰鞋靴,自己,淘宝（天猫）,没有,没有,薅到爽到，支持！,男,18~25岁,全日制学生,3000元以下,北京-北京市-昌平区
购物了,500元以下,500元以下,家用电器┋食品生鲜,自己,京东,没有,没有,其他〖就那样，比较无所谓〗,男,18~25岁,全日制学生,3000元以下,北京-北京市-昌平区
购物了,500元以下,500元以下,手机数码,自己,淘宝（天猫）,没有,没有,静待霉霉，与我无瓜~,男,18~25岁,全日制学生,3000元以下,北京-北京市-昌平区
购物了,2000~5000元,2000~5000元,美妆个护┋服饰鞋靴┋家居百货,自己,淘宝（天猫）┋京东,有,有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,北京-北京市-昌平区
购物了,500元以下,500~2000元,美妆个护┋服饰鞋靴┋图书文娱,自己,淘宝（天猫）,没有,有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,北京-北京市-昌平区
没有,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),买了不必要的东西...,男,40岁以上,专业人士(如会计师、律师、建筑师、医护人员、记者等),5000~10000元,云南-玉溪市-华宁县
购物了,500元以下,500元以下,美妆个护┋家居百货,自己┋父母┋恋人或伴侣,淘宝（天猫）┋拼多多,有,有,薅到爽到，支持！,女,26~30岁,全日制学生,3000元以下,吉林-长春市-朝阳区
购物了,500~2000元,2000~5000元,手机数码┋服饰鞋靴,自己,京东,没有,没有,薅到爽到，支持！,男,18~25岁,全日制学生,3000元以下,北京-北京市-海淀区
购物了,500~2000元,500~2000元,服饰鞋靴,自己,京东,没有,没有,其他〖无〗,男,18~25岁,全日制学生,3000元以下,北京-北京市-昌平区
购物了,500~2000元,500~2000元,手机数码┋美妆个护┋服饰鞋靴┋家居百货,自己,淘宝（天猫）┋京东,没有,没有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,北京-北京市-昌平区
购物了,500~2000元,500~2000元,美妆个护┋服饰鞋靴,自己┋其他亲朋好友,淘宝（天猫）,有,没有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,山西-太原市-小店区
购物了,500元以下,500元以下,服饰鞋靴,自己,淘宝（天猫）,有,没有,其他〖中立态度〗,女,18~25岁,全日制学生,3000元以下,重庆-重庆市-沙坪坝区
购物了,500元以下,500元以下,手机数码┋美妆个护┋服饰鞋靴┋家居百货,自己┋恋人或伴侣,淘宝（天猫）┋京东,有,有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,河南-开封市-龙亭区
没有,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),其他〖有需要才买，她的优惠我感觉都一样〗,女,18~25岁,全日制学生,3000元以下,陕西-西安市-雁塔区
购物了,500元以下,500元以下,美妆个护┋服饰鞋靴,自己┋其他亲朋好友,淘宝（天猫）,有,没有,其他〖痛并快乐着〗,女,18~25岁,全日制学生,3000元以下,河南-开封市-龙亭区
购物了,500~2000元,500~2000元,家用电器┋美妆个护┋服饰鞋靴┋家居百货,自己┋父母,淘宝（天猫）,有,有,其他〖虽然有便宜，买的也都是想要的，但希望套路简单点〗,女,18~25岁,技术/研发人员,5000~10000元,上海-上海市-徐汇区
购物了,500元以下,500元以下,图书文娱,自己┋其他〖孩子〗,京东┋其他〖当当〗,没有,有,静待霉霉，与我无瓜~,女,36~40岁,教师,3000~5000元,云南-曲靖市-麒麟区
没有,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),静待霉霉，与我无瓜~,男,40岁以上,教师,3000~5000元,陕西-西安市-莲湖区
购物了,500~2000元,500~2000元,美妆个护┋食品生鲜,自己,淘宝（天猫）,没有,有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,山东-烟台市-海阳市
购物了,2000~5000元,2000~5000元,家用电器┋电脑办公┋美妆个护┋服饰鞋靴┋家居百货,自己┋父母┋恋人或伴侣,淘宝（天猫）,有,有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,上海-上海市-普陀区
购物了,500~2000元,2000~5000元,美妆个护,自己┋父母┋恋人或伴侣,淘宝（天猫）┋拼多多,有,有,买了不必要的东西...,女,26~30岁,全日制学生,3000元以下,北京-北京市-大兴区
购物了,500~2000元,500~2000元,美妆个护┋服饰鞋靴┋图书文娱,父母,淘宝（天猫）┋京东,有,有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,湖南-长沙市-芙蓉区
购物了,500元以下,500元以下,美妆个护┋服饰鞋靴┋食品生鲜,自己┋恋人或伴侣,淘宝（天猫）,有,有,买了不必要的东西...,女,18~25岁,全日制学生,3000元以下,安徽-蚌埠市-龙子湖区
购物了,500~2000元,500~2000元,家居百货,恋人或伴侣,淘宝（天猫）,没有,有,其他〖有需要的就买，没需要的就不买〗,女,18~25岁,全日制学生,3000元以下,江苏-苏州市-姑苏区
没有,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),静待霉霉，与我无瓜~,女,18~25岁,全日制学生,3000元以下,广东-广州市-海珠区
购物了,500~2000元,500~2000元,美妆个护┋服饰鞋靴,自己┋父母,淘宝（天猫）,有,没有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,北京-北京市-昌平区
购物了,500元以下,500元以下,服饰鞋靴┋食品生鲜┋图书文娱,自己,淘宝（天猫）,有,没有,静待霉霉，与我无瓜~,女,18~25岁,全日制学生,3000元以下,广东-广州市-番禺区
购物了,500~2000元,500~2000元,服饰鞋靴,自己,淘宝（天猫）,没有,没有,静待霉霉，与我无瓜~,女,18~25岁,全日制学生,3000元以下,福建-厦门市-思明区
购物了,500~2000元,500~2000元,家用电器┋服饰鞋靴┋食品生鲜┋其他〖网球拍〗,自己┋恋人或伴侣┋其他亲朋好友,淘宝（天猫）,没有,没有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,北京-北京市-昌平区
购物了,500~2000元,500~2000元,美妆个护┋服饰鞋靴,自己,淘宝（天猫）,没有,没有,其他〖买到想买的东西，但打折力度并不大〗,女,26~30岁,教师,5000~10000元,广东-茂名市-茂南区
购物了,500~2000元,2000~5000元,美妆个护┋服饰鞋靴┋家居百货,自己┋父母,淘宝（天猫）,有,有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,甘肃-兰州市-城关区
没有,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),静待霉霉，与我无瓜~,男,26~30岁,顾问/咨询,20000元以上,上海-上海市-长宁区
购物了,500元以下,500~2000元,美妆个护┋服饰鞋靴,自己┋恋人或伴侣,淘宝（天猫）,没有,没有,其他〖优惠券的使用规则太麻烦了〗,女,18~25岁,全日制学生,3000元以下,湖南-长沙市-岳麓区
购物了,500~2000元,500~2000元,服饰鞋靴┋家居百货┋食品生鲜┋图书文娱,自己┋恋人或伴侣,京东┋拼多多,有,没有,薅到爽到，支持！,男,18~25岁,全日制学生,3000元以下,北京-北京市-海淀区
购物了,500元以下,500元以下,服饰鞋靴┋家居百货,自己,淘宝（天猫）,没有,没有,静待霉霉，与我无瓜~,男,18~25岁,全日制学生,3000元以下,北京-北京市-海淀区
没有,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),买了不必要的东西...,女,18岁以下,全日制学生,3000元以下,四川-阿坝藏族羌族自治州-汶川县
购物了,500元以下,500~2000元,服饰鞋靴┋家居百货,自己,淘宝（天猫）┋京东┋拼多多,没有,没有,买了不必要的东西...,男,18~25岁,全日制学生,3000元以下,四川-成都市-金牛区
购物了,2000~5000元,2000~5000元,电脑办公┋服饰鞋靴,自己,淘宝（天猫）,有,有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,陕西-西安市-长安区
购物了,500~2000元,10000元以上,美妆个护┋服饰鞋靴┋家居百货,自己┋父母┋恋人或伴侣┋其他亲朋好友,淘宝（天猫）,有,有,薅到爽到，支持！,男,18~25岁,全日制学生,3000元以下,广东-广州市-海珠区
购物了,500元以下,500~2000元,美妆个护┋服饰鞋靴┋食品生鲜,自己┋父母,淘宝（天猫）┋京东,有,有,买了不必要的东西...,女,18~25岁,全日制学生,3000元以下,湖北-武汉市-武昌区
购物了,500元以下,500元以下,家居百货,自己,淘宝（天猫）,没有,没有,静待霉霉，与我无瓜~,女,18~25岁,全日制学生,3000元以下,北京-北京市-昌平区
购物了,500~2000元,500~2000元,电脑办公┋美妆个护┋服饰鞋靴┋家居百货┋食品生鲜,自己,淘宝（天猫）,没有,没有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,上海-上海市-闵行区
购物了,500~2000元,500元以下,美妆个护┋服饰鞋靴┋家居百货,自己┋其他亲朋好友,淘宝（天猫）,没有,有,薅到爽到，支持！,女,18~25岁,全日制学生,3000元以下,北京-北京市-海淀区
